,img_path,has_under_extrusion
0,101/1678578332/1678578538.704966.jpg,1
1,101/1678578332/1678578539.108019.jpg,1
2,101/1678578332/1678578539.512872.jpg,1
3,101/1678578332/1678578539.916711.jpg,1
4,101/1678578332/1678578540.329089.jpg,1
5,101/1678578332/1678578540.731776.jpg,1
6,101/1678578332/1678578541.134508.jpg,1
7,101/1678578332/1678578541.539697.jpg,1
8,101/1678578332/1678578541.946032.jpg,1
9,101/1678578332/1678578542.346133.jpg,1
10,101/1678578332/1678578542.764537.jpg,1
11,101/1678578332/1678578543.172368.jpg,1
12,101/1678578332/1678578543.5863.jpg,1
13,101/1678578332/1678578544.006929.jpg,1
14,101/1678578332/1678578544.411404.jpg,1
15,101/1678578332/1678578544.833467.jpg,1
16,101/1678578332/1678578545.250962.jpg,1
17,101/1678578332/1678578545.672642.jpg,1
18,101/1678578332/1678578546.074281.jpg,1
19,101/1678578332/1678578546.491387.jpg,1
20,101/1678578332/1678578546.896918.jpg,1
21,101/1678578332/1678578547.320248.jpg,1
22,101/1678578332/1678578547.72799.jpg,1
23,101/1678578332/1678578548.146402.jpg,1
24,101/1678578332/1678578548.548827.jpg,1
25,101/1678578332/1678578548.972845.jpg,1
26,101/1678578332/1678578549.387781.jpg,1
27,101/1678578332/1678578549.802648.jpg,1
28,101/1678578332/1678578550.207722.jpg,1
29,101/1678578332/1678578550.628724.jpg,1
30,101/1678578332/1678578551.0409.jpg,1
31,101/1678578332/1678578551.462157.jpg,1
32,101/1678578332/1678578551.87371.jpg,1
33,101/1678578332/1678578552.281372.jpg,1
34,101/1678578332/1678578552.688239.jpg,1
35,101/1678578332/1678578553.112066.jpg,1
36,101/1678578332/1678578553.526195.jpg,1
37,101/1678578332/1678578553.931534.jpg,1
38,101/1678578332/1678578554.353903.jpg,1
39,101/1678578332/1678578554.755084.jpg,1
40,101/1678578332/1678578555.16281.jpg,1
41,101/1678578332/1678578555.579155.jpg,1
42,101/1678578332/1678578555.994419.jpg,1
43,101/1678578332/1678578556.39891.jpg,1
44,101/1678578332/1678578556.821764.jpg,1
45,101/1678578332/1678578557.244942.jpg,1
46,101/1678578332/1678578557.666633.jpg,1
47,101/1678578332/1678578558.081008.jpg,1
48,101/1678578332/1678578558.504981.jpg,1
49,101/1678578332/1678578558.914262.jpg,1
50,101/1678578332/1678578559.324585.jpg,1
51,101/1678578332/1678578559.747285.jpg,1
52,101/1678578332/1678578560.149259.jpg,1
53,101/1678578332/1678578560.561309.jpg,1
54,101/1678578332/1678578560.97434.jpg,1
55,101/1678578332/1678578561.374425.jpg,1
56,101/1678578332/1678578561.798866.jpg,1
57,101/1678578332/1678578562.212455.jpg,1
58,101/1678578332/1678578562.618928.jpg,1
59,101/1678578332/1678578563.019558.jpg,1
60,101/1678578332/1678578563.442774.jpg,1
61,101/1678578332/1678578563.848197.jpg,1
62,101/1678578332/1678578564.249424.jpg,1
63,101/1678578332/1678578564.666611.jpg,1
64,101/1678578332/1678578565.072252.jpg,1
65,101/1678578332/1678578565.491934.jpg,1
66,101/1678578332/1678578565.89435.jpg,1
67,101/1678578332/1678578566.297309.jpg,1
68,101/1678578332/1678578566.70002.jpg,1
69,101/1678578332/1678578567.104066.jpg,1
70,101/1678578332/1678578567.510908.jpg,1
